,PeakNumber,startTime,endTime,peakMaxTime,File,Mass,Group,Group_by_ChromAlignNet,AlignedTime,RealAlignedTime
253,4,15.559000000000001,15.741,15.62,19,92,6,12,15.614688706698338,15.615016400515374
254,5,15.780999999999999,15.824000000000002,15.821,19,92,7,14,15.887785600536125,15.81542460405248
255,6,15.847999999999999,15.925,15.870999999999999,19,92,8,15,16.008996684978747,15.8707250973198
256,7,15.979000000000001,16.089000000000002,16.039,19,92,9,16,16.035956669420155,16.03531639732246
257,8,16.093,16.217,16.153,19,92,10,17,16.15218983247317,16.152190932644274
258,9,17.026,17.12,17.079,19,92,18,27,17.084047987750232,17.077882848962304
259,10,17.123,17.25,17.173,19,92,19,28,17.17887714813634,17.178833528047246
260,0,14.734000000000002,14.798,14.775,20,92,1,2,14.767794573208272,14.767794573208272
261,1,14.859000000000002,14.902000000000001,14.902000000000001,20,92,2,3,14.914732747717288,14.914879540385458
262,2,14.985999999999999,15.1,15.04,20,92,3,5,15.060365429256013,15.070493807790394
263,3,15.103,15.124,15.124,20,92,4,8,15.136924726796751,15.151234637803341
264,4,15.254000000000001,15.332,15.290999999999999,20,92,5,10,15.297791348061047,15.297791348061047
265,5,15.55,15.744000000000002,15.607000000000001,20,92,6,12,15.614688706698338,15.615016400515374
266,6,15.825,15.922,15.865,20,92,8,14,15.887785600536125,15.8707250973198
267,7,15.979000000000001,16.08,16.026,20,92,9,15,16.008996684978747,16.03531639732246
268,8,16.083,16.191,16.14,20,92,10,17,16.15218983247317,16.152190932644274
269,9,16.211,16.281,16.244,20,92,11,18,16.22983361429619,16.25402327528519
270,10,16.305,16.419,16.372,20,92,12,19,16.39376036963959,16.38191514747558
271,11,16.711,16.788,16.761,20,92,15,23,16.768314623435607,16.76831462343561
272,12,16.791,16.855,16.820999999999998,20,92,16,24,16.820439674030673,16.82503476397018
273,13,16.858,16.969,16.902,20,92,17,26,16.908535934317765,16.908535934317765
274,14,16.989,17.12,17.066,20,92,18,27,17.084047987750232,17.077882848962304
275,15,17.123,17.234,17.167,20,92,19,28,17.17887714813634,17.178833528047246
276,16,17.355,17.476,17.412,20,92,20,31,17.421538031378084,17.42194889563897
277,0,14.55,14.710999999999999,14.624,21,92,0,0,14.617083014540764,14.61697520364879
278,1,14.856,14.995999999999999,14.925999999999998,21,92,2,3,14.914732747717288,14.914879540385458
279,2,15.0,15.094000000000001,15.077,21,92,3,5,15.060365429256013,15.070493807790394
280,3,15.097000000000001,15.120999999999999,15.107000000000001,21,92,3,6,15.098255557757403,15.070493807790394
281,4,15.124,15.241,15.134,21,92,-1,8,15.136924726796751,15.134
282,5,15.577,15.681,15.624,21,92,6,12,15.614688706698338,15.615016400515374
283,6,15.775,15.859000000000002,15.815,21,92,7,14,15.887785600536125,15.81542460405248
284,7,16.003,16.084,16.043,21,92,9,15,16.008996684978747,16.03531639732246
285,8,16.097,16.235,16.157,21,92,10,17,16.15218983247317,16.152190932644274
286,9,17.03,17.124000000000002,17.083,21,92,18,27,17.084047987750232,17.077882848962304
287,10,17.127,17.281,17.187,21,92,19,28,17.17887714813634,17.178833528047246
288,11,17.389,17.426,17.426,21,92,20,31,17.421538031378084,17.42194889563897
289,0,14.755,14.785,14.782,22,92,1,2,14.767794573208272,14.767794573208272
290,1,14.862,14.98,14.913,22,92,2,3,14.914732747717288,14.914879540385458
291,2,14.993,15.114,15.05,22,92,3,5,15.060365429256013,15.070493807790394
292,3,15.265,15.298,15.298,22,92,5,10,15.297791348061047,15.297791348061047
293,4,15.56,15.710999999999999,15.62,22,92,6,12,15.614688706698338,15.615016400515374
294,5,15.842,15.915999999999999,15.875,22,92,8,14,15.887785600536125,15.8707250973198
295,6,15.985999999999999,16.09,16.037,22,92,9,15,16.008996684978747,16.03531639732246
296,7,16.1,16.201,16.154,22,92,10,17,16.15218983247317,16.152190932644274
297,8,16.317999999999998,16.429000000000002,16.385,22,92,12,19,16.39376036963959,16.38191514747558
298,9,16.445999999999998,16.512999999999998,16.449,22,92,13,20,16.448454631799272,16.448454631799272
299,10,16.724,16.795,16.775,22,92,15,23,16.768314623435607,16.76831462343561
300,11,16.798,16.875,16.828,22,92,16,25,16.86693692571636,16.82503476397018
301,12,17.012999999999998,17.124000000000002,17.077,22,92,18,27,17.084047987750232,17.077882848962304
302,13,17.127,17.250999999999998,17.177,22,92,19,28,17.17887714813634,17.178833528047246
303,14,17.375,17.426,17.419,22,92,20,31,17.421538031378084,17.42194889563897
304,0,14.857999999999999,14.965,14.908,23,92,2,3,14.914732747717288,14.914879540385458
305,1,14.985,15.116,15.049000000000001,23,92,3,5,15.060365429256013,15.070493807790394
306,2,15.26,15.350999999999999,15.297,23,92,5,10,15.297791348061047,15.297791348061047
307,3,15.552,15.75,15.613,23,92,6,12,15.614688706698338,15.615016400515374
